"Player","EH_ID","API ID","Season","Team","Position","Catches","Birthday","Age","Draft Yr","Draft Rd","Draft Ov","GP","TOI","GA","SA","FA","xGA","Sv%","FSv%","xFSv%","dFSv%","GSAA","GSAx"
"Craig Anderson","CRAIG.ANDERSON","8467950","20-21","WSH","G","L",1981-05-21,39,2001,3,73,4,168.73,6.31,76.22,122.42,6.35,91.72,94.85,94.81,0.03,0.7,0.04
"Craig Anderson","CRAIG.ANDERSON","8467950","21-22","BUF","G","L",1981-05-21,40,2001,3,73,31,1867.25,96.85,949.86,1303.89,89.08,89.8,92.57,93.17,-0.6,-8.69,-7.77
"Cristobal Huet","CRISTOBAL.HUET","8469658","07-08","MTL/WSH","G","L",1975-09-03,32,2001,7,214,52,3031.86,115.58,1435.46,2052.74,122.83,91.95,94.37,94.02,0.35,15.11,7.25
"Cristobal Huet","CRISTOBAL.HUET","8469658","08-09","CHI","G","L",1975-09-03,33,2001,7,214,41,2350.97,97.89,1072.35,1428.76,96.47,90.87,93.15,93.25,-0.1,0.22,-1.42
"Cristobal Huet","CRISTOBAL.HUET","8469658","09-10","CHI","G","L",1975-09-03,34,2001,7,214,48,2731.92,113.1,1068.3,1465.46,97.4,89.41,92.28,93.35,-1.07,-18.33,-15.7
"Cristopher Nilstorp","CRISTOPHER.NILSTORP","8476846","12-13","DAL","G","R",1984-02-16,28,2002,NA,NA,5,291.3,15.01,145.95,199.32,11.25,89.72,92.47,94.36,-1.89,-2.16,-3.76
"Cristopher Nilstorp","CRISTOPHER.NILSTORP","8476846","13-14","DAL","G","R",1984-02-16,29,2002,NA,NA,1,39.48,2.97,18.4,21.64,1.81,83.86,86.28,91.64,-5.36,-1.39,-1.16
"Curtis Joseph","CURTIS.JOSEPH","8448382","07-08","CGY","G","L",1967-04-29,40,1985,NA,NA,9,399.67,16.13,176.96,251.33,16.98,90.88,93.58,93.24,0.34,-0.02,0.85
"Curtis Joseph","CURTIS.JOSEPH","8448382","08-09","TOR","G","L",1967-04-29,41,1985,NA,NA,20,840.7,50.39,396.31,595.09,38.55,87.29,91.53,93.52,-1.99,-14.13,-11.84
"Curtis McElhinney","CURTIS.MCELHINNEY","8470147","07-08","CGY","G","L",1983-05-23,24,2002,6,176,5,149.92,4.99,53.92,79.44,4.8,90.75,93.72,93.96,-0.24,-0.08,-0.19
"Curtis McElhinney","CURTIS.MCELHINNEY","8470147","08-09","CGY","G","L",1983-05-23,25,2002,6,176,13,454.27,26.86,253.88,340.32,22.38,89.42,92.11,93.42,-1.32,-3.63,-4.48
"Curtis McElhinney","CURTIS.MCELHINNEY","8470147","09-10","ANA/CGY","G","L",1983-05-23,26,2002,6,176,20,1023.86,50.73,524.25,732.96,41.23,90.32,93.08,94.37,-1.3,-4.22,-9.5
"Curtis McElhinney","CURTIS.MCELHINNEY","8470147","10-11","ANA/OTT","G","L",1983-05-23,27,2002,6,176,28,1394.87,72.11,721.64,1044.91,68.16,90.01,93.1,93.48,-0.38,-9.16,-3.95
"Curtis McElhinney","CURTIS.MCELHINNEY","8470147","11-12","ARI","G","L",1983-05-23,28,2002,6,176,2,71.77,1.98,35.29,48.98,2.67,94.39,95.96,94.55,1.41,1.08,0.69
"Curtis McElhinney","CURTIS.MCELHINNEY","8470147","13-14","CBJ","G","L",1983-05-23,30,2002,6,176,28,1423.15,64.1,707.78,944.86,51.51,90.94,93.22,94.55,-1.33,-3.24,-12.59
"Curtis McElhinney","CURTIS.MCELHINNEY","8470147","14-15","CBJ","G","L",1983-05-23,31,2002,6,176,32,1710.02,82.23,957.21,1284.88,80.63,91.41,93.6,93.72,-0.12,-0.6,-1.6
"Curtis McElhinney","CURTIS.MCELHINNEY","8470147","15-16","CBJ","G","L",1983-05-23,32,2002,6,176,18,835.43,45.33,428.72,605.83,43.15,89.43,92.52,92.88,-0.36,-8.8,-2.18
"Curtis McElhinney","CURTIS.MCELHINNEY","8470147","16-17","CBJ/TOR","G","L",1983-05-23,33,2002,6,176,21,1134.65,50.88,617.88,859.02,55.64,91.77,94.08,93.52,0.55,2.54,4.76
"Curtis McElhinney","CURTIS.MCELHINNEY","8470147","17-18","TOR","G","L",1983-05-23,34,2002,6,176,18,979.12,34.86,513.93,724.85,43.45,93.22,95.19,94.01,1.19,10.22,8.59
"Curtis McElhinney","CURTIS.MCELHINNEY","8470147","18-19","CAR","G","L",1983-05-23,35,2002,6,176,33,1977.52,85.4,957.22,1350.4,93.08,91.08,93.68,93.11,0.57,0.89,7.68
"Curtis McElhinney","CURTIS.MCELHINNEY","8470147","19-20","T.B","G","L",1983-05-23,36,2002,6,176,18,1080.92,51.43,544.51,754.08,48.01,90.55,93.18,93.63,-0.45,-2.23,-3.42
"Curtis McElhinney","CURTIS.MCELHINNEY","8470147","20-21","T.B","G","L",1983-05-23,37,2002,6,176,12,719.32,37.56,307.95,406.07,24.47,87.8,90.75,93.97,-3.22,-9.22,-13.09
"Curtis Sanford","CURTIS.SANFORD","8468166","07-08","VAN","G","L",1979-10-05,27,1998,NA,NA,16,679.15,32.78,316.08,440.18,25.51,89.63,92.55,94.2,-1.65,-4,-7.27
"Curtis Sanford","CURTIS.SANFORD","8468166","08-09","VAN","G","L",1979-10-05,28,1998,NA,NA,19,972.58,42.7,460.32,657.97,42.38,90.72,93.51,93.56,-0.05,-0.58,-0.32
"Curtis Sanford","CURTIS.SANFORD","8468166","11-12","CBJ","G","L",1979-10-05,31,1998,NA,NA,36,1982.92,84.9,968.66,1320.65,76.02,91.24,93.57,94.24,-0.67,-1.07,-8.88
"Dan Cloutier","DAN.CLOUTIER","8460516","07-08","L.A","G","L",1976-04-22,31,1994,1,26,9,489.17,27.94,250.11,363.78,19.95,88.83,92.32,94.52,-2.2,-5.17,-7.99
"Dan Ellis","DAN.ELLIS","8468540","07-08","NSH","G","L",1980-06-19,27,2000,2,60,44,2228.55,87.63,1136.82,1508.6,93.39,92.29,94.19,93.81,0.38,15.87,5.76
"Dan Ellis","DAN.ELLIS","8468540","08-09","NSH","G","L",1980-06-19,28,2000,2,60,35,1964.72,95.93,968.65,1351.86,87.09,90.1,92.9,93.56,-0.65,-7.3,-8.84
"Dan Ellis","DAN.ELLIS","8468540","09-10","NSH","G","L",1980-06-19,29,2000,2,60,31,1714.65,73.83,830.99,1134.72,70.62,91.12,93.49,93.78,-0.28,-0.11,-3.21
"Dan Ellis","DAN.ELLIS","8468540","10-11","ANA/T.B","G","L",1980-06-19,30,2000,2,60,44,2408.17,110.93,1086.64,1550.24,91.69,89.79,92.84,94.09,-1.24,-16.13,-19.24
"Dan Ellis","DAN.ELLIS","8468540","11-12","ANA","G","L",1980-06-19,31,2000,2,60,10,418.7,18.99,222.22,330.18,21.23,91.45,94.25,93.57,0.68,0.24,2.24
"Dan Ellis","DAN.ELLIS","8468540","12-13","CAR","G","L",1980-06-19,32,2000,2,60,19,997.07,53.87,565.56,775.09,53.3,90.47,93.05,93.12,-0.07,-4.05,-0.57
"Dan Ellis","DAN.ELLIS","8468540","13-14","DAL/FLA","G","L",1980-06-19,33,2000,2,60,20,1027.32,62.63,535.5,773.14,52.81,88.3,91.9,93.17,-1.27,-16.58,-9.82
"Dan Ellis","DAN.ELLIS","8468540","14-15","FLA","G","L",1980-06-19,34,2000,2,60,8,486.47,19.37,225.1,313.9,17.49,91.39,93.83,94.43,-0.6,-0.18,-1.88
"Dan Vladar","DAN.VLADAR","8478435","20-21","BOS","G","L",1997-08-20,23,2015,3,75,5,300.07,18.11,158.01,219.04,13.64,88.54,91.73,93.77,-2.04,-3.57,-4.47
"Dan Vladar","DAN.VLADAR","8478435","21-22","CGY","G","L",1997-08-20,24,2015,3,75,23,1243.13,55.08,586.45,835.66,51.19,90.61,93.41,93.87,-0.47,-0.65,-3.89
"Daniel Lacosta","DANIEL.LACOSTA","8471305","07-08","CBJ","G","L",1986-03-28,21,2004,3,93,1,13.15,0,5.52,7.69,0.25,100,100,96.75,3.25,0.5,0.25
"Daniel Lacosta","DANIEL.LACOSTA","8471305","08-09","CBJ","G","L",1986-03-28,22,2004,3,93,3,155.68,3.99,80.97,113.14,6.2,95.07,96.47,94.52,1.95,3.41,2.21
"Daniel Taylor","DANIEL.TAYLOR","8471433","07-08","L.A","G","L",1986-04-28,21,2004,7,221,1,20,2.14,11.91,13.17,0.94,82.03,83.75,92.86,-9.11,-1.06,-1.2
"Daniel Taylor","DANIEL.TAYLOR","8471433","12-13","CGY","G","L",1986-04-28,26,2004,7,221,2,120,6.03,71.11,97.68,5.26,91.52,93.83,94.62,-0.79,0.23,-0.77
"Daniel Taylor","DANIEL.TAYLOR","8471433","17-18","OTT","G","L",1986-04-28,31,2004,7,221,1,58.48,3.79,33.62,48.96,2.67,88.73,92.26,94.55,-2.29,-0.84,-1.12
"Daniil Tarasov (G)","DANIIL.TARASOV2","8480193","21-22","CBJ","G","L",1999-03-27,22,2017,3,86,4,174.85,6.78,111.38,144,9.76,93.91,95.29,93.22,2.07,3.55,2.98
"Dany Sabourin","DANY.SABOURIN","8467430","07-08","PIT","G","L",1980-09-02,27,1998,4,108,24,1242.17,56.67,595.92,837.34,49.17,90.49,93.23,94.13,-0.9,-2.41,-7.5
"Dany Sabourin","DANY.SABOURIN","8467430","08-09","PIT","G","L",1980-09-02,28,1998,4,108,19,989.43,46.48,463.92,647.05,42.37,89.98,92.82,93.45,-0.64,-4.03,-4.11
"Darcy Kuemper","DARCY.KUEMPER","8475311","12-13","MIN","G","L",1990-05-05,22,2009,6,161,6,288.3,9.94,124.73,189.26,10.87,92.03,94.75,94.26,0.49,1.05,0.93
"Darcy Kuemper","DARCY.KUEMPER","8475311","13-14","MIN","G","L",1990-05-05,23,2009,6,161,26,1480.23,59.37,696.65,971.07,52.47,91.48,93.89,94.6,-0.71,0.53,-6.9
"Darcy Kuemper","DARCY.KUEMPER","8475311","14-15","MIN","G","L",1990-05-05,24,2009,6,161,31,1568.72,67.97,713.89,1002.68,54.9,90.48,93.22,94.52,-1.3,-7.1,-13.07
"Darcy Kuemper","DARCY.KUEMPER","8475311","15-16","MIN","G","L",1990-05-05,25,2009,6,161,21,1053.5,42.57,497.62,716.67,42.94,91.45,94.06,94.01,0.05,-0.18,0.37
"Darcy Kuemper","DARCY.KUEMPER","8475311","16-17","MIN","G","L",1990-05-05,26,2009,6,161,18,1053.03,53.55,540.38,760.04,42.67,90.09,92.95,94.39,-1.43,-6.84,-10.88
"Darcy Kuemper","DARCY.KUEMPER","8475311","17-18","ARI/L.A","G","L",1990-05-05,27,2009,6,161,29,1595.89,65.6,828.53,1157.58,73.47,92.08,94.33,93.65,0.68,7.07,7.87
"Darcy Kuemper","DARCY.KUEMPER","8475311","18-19","ARI","G","L",1990-05-05,28,2009,6,161,55,3251.25,125.84,1663.85,2321.72,134.14,92.44,94.58,94.22,0.36,24.16,8.3
"Darcy Kuemper","DARCY.KUEMPER","8475311","19-20","ARI","G","L",1990-05-05,29,2009,6,161,29,1753.4,64.57,892.84,1253.04,73.28,92.77,94.85,94.15,0.7,16.11,8.71
"Darcy Kuemper","DARCY.KUEMPER","8475311","20-21","ARI","G","L",1990-05-05,30,2009,6,161,27,1546.62,67.57,731.18,1021.11,66.62,90.76,93.38,93.48,-0.09,-0.28,-0.95
"Darcy Kuemper","DARCY.KUEMPER","8475311","21-22","COL","G","L",1990-05-05,31,2009,6,161,57,3258.75,136.8,1716.8,2311.65,152.66,92.03,94.08,93.4,0.69,22.54,15.86
"David Aebischer","DAVID.AEBISCHER","8466290","07-08","ARI","G","L",1978-02-07,29,1997,6,161,1,59.92,2.92,34.4,43.73,2.32,91.51,93.32,94.69,-1.37,0.21,-0.6
"David Ayres","DAVID.AYRES","8479188","19-20","CAR","G","L",1977-08-12,42,1995,NA,NA,1,28.68,1.88,8.82,13.97,1.25,78.68,86.54,91.05,-4.51,-1.08,-0.63
"David Leneveu","DAVID.LENEVEU","8470263","10-11","CBJ","G","L",1983-05-23,27,2002,2,46,1,20,2.14,14.28,19.16,1.16,85.01,88.83,93.95,-5.11,-0.9,-0.98
"David Rittich","DAVID.RITTICH","8479496","16-17","CGY","G","L",1992-08-19,24,2010,NA,NA,1,20,0.99,10.49,13.65,0.72,90.56,92.75,94.73,-1.98,-0.09,-0.27
"David Rittich","DAVID.RITTICH","8479496","17-18","CGY","G","L",1992-08-19,25,2010,NA,NA,21,1008.23,47.5,494.7,694.06,42.95,90.4,93.16,93.81,-0.66,-4.11,-4.55
"David Rittich","DAVID.RITTICH","8479496","18-19","CGY","G","L",1992-08-19,26,2010,NA,NA,45,2503.33,109.58,1215.92,1706.2,108.36,90.99,93.58,93.65,-0.07,0.03,-1.22
"David Rittich","DAVID.RITTICH","8479496","19-20","CGY","G","L",1992-08-19,27,2010,NA,NA,48,2791.97,138.61,1482.1,2060.69,128.18,90.65,93.27,93.78,-0.51,-4.69,-10.43
"David Rittich","DAVID.RITTICH","8479496","20-21","CGY/TOR","G","L",1992-08-19,28,2010,NA,NA,19,965.76,45.61,465.52,663.89,39.43,90.2,93.13,94.06,-0.93,-2.77,-6.18
"David Rittich","DAVID.RITTICH","8479496","21-22","NSH","G","L",1992-08-19,29,2010,NA,NA,17,822.93,48.1,439.23,612.08,41.13,89.05,92.14,93.28,-1.14,-7.34,-6.97
"Devan Dubnyk","DEVAN.DUBNYK","8471227","09-10","EDM","G","L",1986-05-04,23,2004,1,14,19,1075.43,64.3,585.26,857.76,52.36,89.01,92.5,93.9,-1.39,-12.37,-11.94
"Devan Dubnyk","DEVAN.DUBNYK","8471227","10-11","EDM","G","L",1986-05-04,24,2004,1,14,35,2061.07,93.35,1108.02,1531.61,106.78,91.58,93.91,93.03,0.88,3.31,13.43
"Devan Dubnyk","DEVAN.DUBNYK","8471227","11-12","EDM","G","L",1986-05-04,25,2004,1,14,47,2653.45,117.8,1378.58,1890.01,134.47,91.45,93.77,92.89,0.88,1.52,16.67
"Devan Dubnyk","DEVAN.DUBNYK","8471227","12-13","EDM","G","L",1986-05-04,26,2004,1,14,38,2100.95,91.17,1130.15,1571.99,104.21,91.93,94.2,93.37,0.83,8.38,13.04
"Devan Dubnyk","DEVAN.DUBNYK","8471227","13-14","EDM/NSH","G","L",1986-05-04,27,2004,1,14,34,1801.62,103.05,956.73,1336.9,81.99,89.23,92.29,93.87,-1.58,-20.77,-21.06
"Devan Dubnyk","DEVAN.DUBNYK","8471227","14-15","ARI/MIN","G","L",1986-05-04,28,2004,1,14,58,3328.2,115.8,1610.49,2272.93,128.02,92.81,94.91,94.37,0.54,21.54,12.22
"Devan Dubnyk","DEVAN.DUBNYK","8471227","15-16","MIN","G","L",1986-05-04,29,2004,1,14,67,3856.67,149.71,1831.09,2607.96,146.5,91.82,94.26,94.38,-0.12,6.3,-3.21
"Devan Dubnyk","DEVAN.DUBNYK","8471227","16-17","MIN","G","L",1986-05-04,30,2004,1,14,65,3758,140.62,1820.08,2533.06,131.8,92.27,94.45,94.8,-0.35,16.73,-8.82
"Devan Dubnyk","DEVAN.DUBNYK","8471227","17-18","MIN","G","L",1986-05-04,31,2004,1,14,60,3450.32,144.44,1749.11,2451.63,130.68,91.74,94.11,94.67,-0.56,8.98,-13.76
"Devan Dubnyk","DEVAN.DUBNYK","8471227","18-19","MIN","G","L",1986-05-04,32,2004,1,14,67,3855.27,162.29,1883.88,2651.56,143.57,91.39,93.88,94.59,-0.71,7.54,-18.72
"Devan Dubnyk","DEVAN.DUBNYK","8471227","19-20","MIN","G","L",1986-05-04,33,2004,1,14,30,1664.65,93.78,866.83,1179.07,66.29,89.18,92.05,94.38,-2.33,-15.45,-27.49
"Devan Dubnyk","DEVAN.DUBNYK","8471227","20-21","COL/S.J","G","L",1986-05-04,34,2004,1,14,22,1182.36,62.28,601.51,817.4,50.72,89.65,92.38,93.79,-1.41,-6.92,-11.56
"Dimitri Patzold","DIMITRI.PATZOLD","8469556","07-08","S.J","G","L",1983-02-03,24,2001,4,107,3,43.58,4.31,22.95,30.01,2.21,81.22,85.64,92.64,-7,-2.22,-2.1
"Dominik Hasek","DOMINIK.HASEK","8447687","07-08","DET","G","L",1965-01-29,42,1983,10,199,41,2350.07,82.26,838.68,1169.05,76.54,90.19,92.96,93.45,-0.49,-5.9,-5.72
"Drew MacIntyre","DREW.MACINTYRE","8469569","07-08","VAN","G","L",1983-06-24,24,2001,4,121,2,61.1,3.16,24.54,34.91,2.34,87.12,90.95,93.3,-2.35,-0.92,-0.82
"Drew MacIntyre","DREW.MACINTYRE","8469569","11-12","BUF","G","L",1983-06-24,28,2001,4,121,2,43.48,0.99,19.59,19.61,1.18,94.95,94.95,93.98,0.97,0.71,0.19
"Drew MacIntyre","DREW.MACINTYRE","8469569","13-14","TOR","G","L",1983-06-24,30,2001,4,121,2,94.58,3.87,52.69,73.42,4.23,92.66,94.73,94.24,0.49,0.66,0.36
"Dustin Tokarski","DUSTIN.TOKARSKI","8474682","09-10","T.B","G","L",1989-09-16,19,2008,5,122,2,44.35,2.97,17.61,25.37,1.88,83.13,88.29,92.59,-4.3,-1.41,-1.09
"Dustin Tokarski","DUSTIN.TOKARSKI","8474682","11-12","T.B","G","L",1989-09-16,21,2008,5,122,5,243.58,14.57,115.57,172.45,10.32,87.39,91.55,94.02,-2.46,-4.57,-4.25
"Dustin Tokarski","DUSTIN.TOKARSKI","8474682","13-14","MTL","G","L",1989-09-16,23,2008,5,122,3,163.1,4.72,88.74,117.86,8.81,94.68,96,92.53,3.47,2.91,4.09
"Dustin Tokarski","DUSTIN.TOKARSKI","8474682","14-15","MTL","G","L",1989-09-16,24,2008,5,122,17,1004.97,44.96,504.03,685.54,44.72,91.08,93.44,93.48,-0.04,-1.98,-0.24
"Dustin Tokarski","DUSTIN.TOKARSKI","8474682","15-16","MTL","G","L",1989-09-16,25,2008,5,122,6,226.17,12.15,100.24,137.08,8.63,87.88,91.14,93.7,-2.57,-3.61,-3.52
"Dustin Tokarski","DUSTIN.TOKARSKI","8474682","16-17","ANA","G","L",1989-09-16,26,2008,5,122,1,9.78,0,6.03,8.51,0.67,100,100,92.13,7.87,0.52,0.67
"Dustin Tokarski","DUSTIN.TOKARSKI","8474682","20-21","BUF","G","L",1989-09-16,30,2008,5,122,13,729.43,43.39,467.11,634.81,37.91,90.71,93.16,94.03,-0.86,-0.4,-5.48
"Dustin Tokarski","DUSTIN.TOKARSKI","8474682","21-22","BUF","G","L",1989-09-16,31,2008,5,122,29,1671.43,91.59,910.46,1201.36,79.98,89.94,92.38,93.34,-0.97,-7.09,-11.61
"Dwayne Roloson","DWAYNE.ROLOSON","8460806","07-08","EDM","G","L",1969-10-12,37,1988,NA,NA,43,2340.2,118.02,1199.64,1597.15,103.21,90.16,92.61,93.54,-0.93,-8.8,-14.81
"Dwayne Roloson","DWAYNE.ROLOSON","8460806","08-09","EDM","G","L",1969-10-12,38,1988,NA,NA,63,3596.85,165.33,1945.77,2656.51,171.46,91.5,93.78,93.55,0.23,12.71,6.13
"Dwayne Roloson","DWAYNE.ROLOSON","8460806","09-10","NYI","G","L",1969-10-12,39,1988,NA,NA,50,2897.3,145.07,1538.93,2137.16,148.78,90.57,93.21,93.04,0.17,-8.55,3.71
"Dwayne Roloson","DWAYNE.ROLOSON","8460806","10-11","NYI/T.B","G","L",1969-10-12,40,1988,NA,NA,54,3198.58,139.17,1597.99,2249.94,133.92,91.29,93.81,94.05,-0.23,0.23,-5.25
"Dwayne Roloson","DWAYNE.ROLOSON","8460806","11-12","T.B","G","L",1969-10-12,41,1988,NA,NA,40,2098.52,129.95,1164.95,1614.21,104.83,88.85,91.95,93.51,-1.56,-29.13,-25.12
"Dylan Ferguson","DYLAN.FERGUSON","8480263","17-18","VGK","G","L",1998-09-20,18,2017,7,194,1,9.23,0.99,2.15,4.37,0.41,53.95,77.35,90.62,-13.27,-0.81,-0.58
"Eddie Lack","EDDIE.LACK","8475663","13-14","VAN","G","L",1988-01-05,25,2006,NA,NA,41,2318.87,92.44,1059.36,1511.4,94.73,91.27,93.88,93.73,0.15,-1.35,2.29
"Eddie Lack","EDDIE.LACK","8475663","14-15","VAN","G","L",1988-01-05,26,2006,NA,NA,41,2323.97,95.34,1217.79,1635.26,110.9,92.17,94.17,93.22,0.95,8.51,15.56
"Eddie Lack","EDDIE.LACK","8475663","15-16","CAR","G","L",1988-01-05,27,2006,NA,NA,34,1920.1,89.77,907.63,1315.22,87.49,90.11,93.17,93.35,-0.17,-12.44,-2.28
"Eddie Lack","EDDIE.LACK","8475663","16-17","CAR","G","L",1988-01-05,28,2006,NA,NA,20,1089.85,47.4,485.39,726.29,46.87,90.23,93.47,93.55,-0.07,-5.44,-0.53
"Eddie Lack","EDDIE.LACK","8475663","17-18","CGY/N.J","G","L",1988-01-05,29,2006,NA,NA,8,343.62,23.07,178.1,253.64,14.63,87.05,90.9,94.23,-3.33,-7.45,-8.44
"Edward Pasquale","EDWARD.PASQUALE","8475277","18-19","T.B","G","L",1990-11-20,27,2009,4,117,3,181.97,11.48,97.9,141.61,8.91,88.27,91.89,93.71,-1.81,-2.66,-2.57
"Elvis Merzlikins","ELVIS.MERZLIKINS","8478007","19-20","CBJ","G","L",1994-04-13,25,2014,3,76,32,1815.13,69.76,918.19,1267.55,70.17,92.4,94.5,94.46,0.03,13.21,0.41
"Elvis Merzlikins","ELVIS.MERZLIKINS","8478007","20-21","CBJ","G","L",1994-04-13,26,2014,3,76,28,1496.82,68.77,834.09,1104.85,67.11,91.76,93.78,93.93,-0.15,7.99,-1.66
"Elvis Merzlikins","ELVIS.MERZLIKINS","8478007","21-22","CBJ","G","L",1994-04-13,27,2014,3,76,59,3320.12,178.86,1949.35,2617.91,172.32,90.82,93.17,93.42,-0.25,2.06,-6.54
"Eric Comrie","ERIC.COMRIE","8477480","16-17","WPG","G","L",1995-07-06,21,2013,2,59,1,59.3,3.76,36.59,46.94,3.98,89.72,91.99,91.52,0.47,-0.6,0.22
"Eric Comrie","ERIC.COMRIE","8477480","17-18","WPG","G","L",1995-07-06,22,2013,2,59,3,180.25,11.7,97.42,120.51,7.47,87.99,90.29,93.8,-3.51,-3.15,-4.23
"Eric Comrie","ERIC.COMRIE","8477480","18-19","WPG","G","L",1995-07-06,23,2013,2,59,1,59.88,4.9,30.23,38.88,1.92,83.79,87.4,95.06,-7.66,-2.17,-2.98
"Eric Comrie","ERIC.COMRIE","8477480","19-20","DET","G","L",1995-07-06,24,2013,2,59,3,126.25,9.12,71.06,96.99,7.54,87.17,90.6,92.23,-1.63,-2.7,-1.58
"Eric Comrie","ERIC.COMRIE","8477480","20-21","N.J","G","L",1995-07-06,25,2013,2,59,1,60,2.67,29.43,44.98,2.95,90.93,94.06,93.44,0.62,0.04,0.28
"Eric Comrie","ERIC.COMRIE","8477480","21-22","WPG","G","L",1995-07-06,26,2013,2,59,19,1024.82,42.88,544.77,740.84,52.77,92.13,94.21,92.88,1.33,7.68,9.89
"Erik Ersberg","ERIK.ERSBERG","8473975","07-08","L.A","G","L",1982-03-08,25,2000,NA,NA,14,798.98,32.75,447.98,641.41,36.46,92.69,94.89,94.32,0.58,8.03,3.71
"Erik Ersberg","ERIK.ERSBERG","8473975","08-09","L.A","G","L",1982-03-08,26,2000,NA,NA,28,1477,65.58,655.53,970.79,55.35,90,93.24,94.3,-1.05,-5.6,-10.23
"Erik Ersberg","ERIK.ERSBERG","8473975","09-10","L.A","G","L",1982-03-08,27,2000,NA,NA,11,551.02,21.72,239.04,337.94,23.49,90.91,93.57,93.05,0.52,-0.52,1.77
"Erik Kallgren","ERIK.KALLGREN","8478902","21-22","TOR","G","L",1996-10-14,24,2015,7,183,14,779.48,42.31,382.54,533,34.82,88.94,92.06,93.47,-1.41,-6.8,-7.49
"Evgeni Nabokov","EVGENI.NABOKOV","8460705","07-08","S.J","G","L",1975-07-25,32,1994,9,219,77,4554.27,164.94,1786.92,2484.4,161.72,90.77,93.36,93.49,-0.13,-2.25,-3.22
"Evgeni Nabokov","EVGENI.NABOKOV","8460705","08-09","S.J","G","L",1975-07-25,33,1994,9,219,62,3686.43,149.96,1649.03,2255.97,148.47,90.91,93.35,93.42,-0.07,0.92,-1.49
"Evgeni Nabokov","EVGENI.NABOKOV","8460705","09-10","S.J","G","L",1975-07-25,34,1994,9,219,71,4194.13,169.89,2148.32,2998.94,192.66,92.09,94.33,93.58,0.76,20.7,22.77
"Evgeni Nabokov","EVGENI.NABOKOV","8460705","11-12","NYI","G","L",1975-07-25,36,1994,9,219,42,2377.77,100.07,1169.98,1687.76,108.48,91.45,94.07,93.57,0.5,1.19,8.41
"Evgeni Nabokov","EVGENI.NABOKOV","8460705","12-13","NYI","G","L",1975-07-25,37,1994,9,219,41,2475.4,103.11,1133.97,1606.66,105.47,90.91,93.58,93.44,0.15,-3.23,2.36
"Evgeni Nabokov","EVGENI.NABOKOV","8460705","13-14","NYI","G","L",1975-07-25,38,1994,9,219,40,2254.23,104.12,1089.88,1517,107.95,90.45,93.14,92.88,0.25,-10.4,3.83
"Evgeni Nabokov","EVGENI.NABOKOV","8460705","14-15","T.B","G","L",1975-07-25,39,1994,9,219,11,553.43,27.94,245.28,333.82,22.7,88.61,91.63,93.2,-1.57,-7.03,-5.24
"Felix Sandstrom","FELIX.SANDSTROM","8478433","21-22","PHI","G","L",1997-01-12,24,2015,3,70,5,297.25,16.04,188.41,262.5,20.06,91.49,93.89,92.36,1.53,1.45,4.02
"Filip Gustavsson","FILIP.GUSTAVSSON","8479406","20-21","OTT","G","L",1998-06-07,22,2016,2,55,9,471.57,17.27,255.81,368.98,20.66,93.25,95.32,94.4,0.92,6.28,3.39
"Filip Gustavsson","FILIP.GUSTAVSSON","8479406","21-22","OTT","G","L",1998-06-07,23,2016,2,55,18,1047.55,63.03,593.4,813.61,55.29,89.38,92.25,93.2,-0.95,-7.95,-7.74
"Frederik Andersen","FREDERIK.ANDERSEN","8475883","13-14","ANA","G","L",1989-10-02,23,2012,3,87,28,1569.43,59.97,770.02,1087.47,67.79,92.21,94.49,93.77,0.72,6.24,7.82
"Frederik Andersen","FREDERIK.ANDERSEN","8475883","14-15","ANA","G","L",1989-10-02,24,2012,3,87,54,3105.73,122.94,1428,2077.81,132.46,91.39,94.08,93.63,0.46,-1.17,9.52
"Frederik Andersen","FREDERIK.ANDERSEN","8475883","15-16","ANA","G","L",1989-10-02,25,2012,3,87,43,2297.93,85.84,1063.17,1504.15,92.79,91.93,94.29,93.83,0.46,4.75,6.95
"Frederik Andersen","FREDERIK.ANDERSEN","8475883","16-17","TOR","G","L",1989-10-02,26,2012,3,87,66,3799.33,169.43,2021.38,2874.34,188.15,91.62,94.11,93.45,0.65,5.33,18.72
"Frederik Andersen","FREDERIK.ANDERSEN","8475883","17-18","TOR","G","L",1989-10-02,27,2012,3,87,66,3888.52,181.2,2195.79,3038.43,191.57,91.75,94.04,93.7,0.34,11.4,10.37
"Frederik Andersen","FREDERIK.ANDERSEN","8475883","18-19","TOR","G","L",1989-10-02,28,2012,3,87,60,3510.25,161.33,1929.28,2753.47,169.75,91.64,94.14,93.84,0.31,12.59,8.42
"Frederik Andersen","FREDERIK.ANDERSEN","8475883","19-20","TOR","G","L",1989-10-02,29,2012,3,87,52,3006.67,143.74,1571.4,2209.68,133.47,90.85,93.49,93.96,-0.46,-1.75,-10.27
"Frederik Andersen","FREDERIK.ANDERSEN","8475883","20-21","TOR","G","L",1989-10-02,30,2012,3,87,24,1420.12,70.24,663.15,928.64,59.1,89.41,92.44,93.64,-1.2,-9.21,-11.14
"Frederik Andersen","FREDERIK.ANDERSEN","8475883","21-22","CAR","G","L",1989-10-02,31,2012,3,87,52,3070.88,109.5,1402.37,1951.77,137.96,92.19,94.39,92.93,1.46,20.66,28.46
