"Player","EH_ID","API ID","Season","Team","Position","Catches","Birthday","Age","Draft Yr","Draft Rd","Draft Ov","GP","TOI_EV","TOI_SH","FA_EV","FA_SH","EVD_GAR","SHD_GAR","Take_GAR","Draw_GAR","GAR","WAR","SPAR"
"Cory Schneider","CORY.SCHNEIDER","8471239","21-22","NYI","G","L",1986-03-18,35,2004,1,26,1,48.7,4,38,7,0.4,0.1,0,0,0.5,0.1,0.2
"Craig Anderson","CRAIG.ANDERSON","8467950","07-08","FLA","G","L",1981-05-21,26,2001,3,73,17,934.9,126.8,518,137,14.3,-0.5,0,-0.1,13.7,2.5,4.8
"Craig Anderson","CRAIG.ANDERSON","8467950","08-09","FLA","G","L",1981-05-21,27,2001,3,73,31,1635.9,180.2,997,266,10.2,6.7,0,0.3,17.3,3.1,6
"Craig Anderson","CRAIG.ANDERSON","8467950","09-10","COL","G","L",1981-05-21,28,2001,3,73,71,4235.4,417.8,2364,544,18.5,3.4,-0.6,1.4,22.7,4.1,7.9
"Craig Anderson","CRAIG.ANDERSON","8467950","10-11","COL/OTT","G","L",1981-05-21,29,2001,3,73,51,2865.1,307.7,1647,360,1.4,6.7,0.3,0,8.3,1.5,2.9
"Craig Anderson","CRAIG.ANDERSON","8467950","11-12","OTT","G","L",1981-05-21,30,2001,3,73,63,3492.3,363.5,2047,440,16.2,2.9,-0.1,-0.2,18.7,3.3,6.1
"Craig Anderson","CRAIG.ANDERSON","8467950","12-13","OTT","G","L",1981-05-21,31,2001,3,73,24,1420.6,145.8,701,177,13.9,6.4,0.1,0,20.4,3.8,7
"Craig Anderson","CRAIG.ANDERSON","8467950","13-14","OTT","G","L",1981-05-21,32,2001,3,73,53,2999.7,298.4,1794,364,16.2,-8.2,0,0.3,8.3,1.6,2.9
"Craig Anderson","CRAIG.ANDERSON","8467950","14-15","OTT","G","L",1981-05-21,33,2001,3,73,35,2092.5,196.3,1206,258,8.9,0.9,-0.2,-0.1,9.4,1.8,3.4
"Craig Anderson","CRAIG.ANDERSON","8467950","15-16","OTT","G","L",1981-05-21,34,2001,3,73,60,3477.1,278.8,2125,370,11.9,-3,0.2,-0.6,8.5,1.6,3.2
"Craig Anderson","CRAIG.ANDERSON","8467950","16-17","OTT","G","L",1981-05-21,35,2001,3,73,40,2421.2,192.4,1429,237,24.5,-3.4,0.1,-0.2,21,4,7.7
"Craig Anderson","CRAIG.ANDERSON","8467950","17-18","OTT","G","L",1981-05-21,36,2001,3,73,58,3250.5,255.2,1991,336,-9.5,2.2,0,-0.1,-7.4,-1.4,-2.8
"Craig Anderson","CRAIG.ANDERSON","8467950","18-19","OTT","G","L",1981-05-21,37,2001,3,73,50,2785.2,218.3,1880,303,-6.7,1.2,0.2,-0.1,-5.5,-1,-1.9
"Craig Anderson","CRAIG.ANDERSON","8467950","19-20","OTT","G","L",1981-05-21,38,2001,3,73,34,1845.2,161.8,1133,222,4,-1.5,0.1,0.5,3.1,0.5,1
"Craig Anderson","CRAIG.ANDERSON","8467950","20-21","WSH","G","L",1981-05-21,39,2001,3,73,4,136.7,16.6,95,11,1.8,0,0,0,1.8,0.3,0.6
"Craig Anderson","CRAIG.ANDERSON","8467950","21-22","BUF","G","L",1981-05-21,40,2001,3,73,31,1572,128,1053,166,-5.9,2.3,0.1,-0.1,-3.5,-0.6,-1.2
"Cristobal Huet","CRISTOBAL.HUET","8469658","07-08","MTL/WSH","G","L",1975-09-03,32,2001,7,214,52,3031.9,308.9,1524,361,25.1,6.3,0.4,0.6,32.3,5.8,11.3
"Cristobal Huet","CRISTOBAL.HUET","8469658","08-09","CHI","G","L",1975-09-03,33,2001,7,214,41,2351,253.9,1049,329,4.6,2.2,0.1,0.1,7,1.3,2.5
"Cristobal Huet","CRISTOBAL.HUET","8469658","09-10","CHI","G","L",1975-09-03,34,2001,7,214,48,2731.9,254.6,1178,276,-16.3,3.7,0,0.1,-12.4,-2.3,-4.3
"Cristopher Nilstorp","CRISTOPHER.NILSTORP","8476846","12-13","DAL","G","R",1984-02-16,28,2002,NA,NA,5,291.3,33,147,43,-3.1,-0.2,0,0.1,-3.2,-0.6,-1.1
"Cristopher Nilstorp","CRISTOPHER.NILSTORP","8476846","13-14","DAL","G","R",1984-02-16,29,2002,NA,NA,1,39.5,8.8,14,6,0.1,0,0,0,0.1,0,0
"Curtis Joseph","CURTIS.JOSEPH","8448382","07-08","CGY","G","L",1967-04-29,40,1985,NA,NA,9,399.7,48.7,192,50,2.1,-0.9,0,-0.1,1.1,0.2,0.4
"Curtis Joseph","CURTIS.JOSEPH","8448382","08-09","TOR","G","L",1967-04-29,41,1985,NA,NA,20,840.7,72.9,466,95,-2.1,-3.6,0.1,-0.2,-5.8,-1.1,-2
"Curtis McElhinney","CURTIS.MCELHINNEY","8470147","07-08","CGY","G","L",1983-05-23,24,2002,6,176,5,149.9,18.9,55,20,0.1,0.2,0,0,0.3,0.1,0.1
"Curtis McElhinney","CURTIS.MCELHINNEY","8470147","08-09","CGY","G","L",1983-05-23,25,2002,6,176,13,454.3,58.1,220,88,-1.2,-1.5,0,-0.1,-2.7,-0.5,-0.9
"Curtis McElhinney","CURTIS.MCELHINNEY","8470147","09-10","ANA/CGY","G","L",1983-05-23,26,2002,6,176,20,1023.9,109.1,505,144,-1.6,-0.3,0.1,0.4,-1.4,-0.3,-0.5
"Curtis McElhinney","CURTIS.MCELHINNEY","8470147","10-11","ANA/OTT","G","L",1983-05-23,27,2002,6,176,28,1394.9,142.5,798,196,-1.9,-0.3,0.1,0.7,-1.4,-0.2,-0.5
"Curtis McElhinney","CURTIS.MCELHINNEY","8470147","11-12","ARI","G","L",1983-05-23,28,2002,6,176,2,71.8,4,37,7,0.3,0,0,0.2,0.5,0.1,0.2
"Curtis McElhinney","CURTIS.MCELHINNEY","8470147","13-14","CBJ","G","L",1983-05-23,30,2002,6,176,28,1423.2,141.5,732,167,-4.5,-0.4,0.1,0.1,-4.6,-0.9,-1.6
"Curtis McElhinney","CURTIS.MCELHINNEY","8470147","14-15","CBJ","G","L",1983-05-23,31,2002,6,176,32,1710,187.9,1023,226,1.7,3,0.1,-0.1,4.8,0.9,1.7
"Curtis McElhinney","CURTIS.MCELHINNEY","8470147","15-16","CBJ","G","L",1983-05-23,32,2002,6,176,18,835.4,85.6,446,120,-5.6,3.6,0,-0.1,-2.1,-0.4,-0.8
"Curtis McElhinney","CURTIS.MCELHINNEY","8470147","16-17","CBJ/TOR","G","L",1983-05-23,33,2002,6,176,21,1134.7,80.9,699,133,6.5,0.1,0.1,0.3,7,1.3,2.5
"Curtis McElhinney","CURTIS.MCELHINNEY","8470147","17-18","TOR","G","L",1983-05-23,34,2002,6,176,18,979.1,78.5,594,122,11.4,-0.6,0.1,-0.1,10.7,2.1,4
"Curtis McElhinney","CURTIS.MCELHINNEY","8470147","18-19","CAR","G","L",1983-05-23,35,2002,6,176,33,1977.5,142.5,1142,147,13,1.9,0.1,0,15,2.8,5.3
"Curtis McElhinney","CURTIS.MCELHINNEY","8470147","19-20","T.B","G","L",1983-05-23,36,2002,6,176,18,1080.9,107.9,589,136,5.3,0.1,0.1,0.3,5.7,1,1.9
"Curtis McElhinney","CURTIS.MCELHINNEY","8470147","20-21","T.B","G","L",1983-05-23,37,2002,6,176,12,569.2,61.5,298,61,-10.7,0.2,-0.2,-0.1,-10.7,-1.9,-3.6
"Curtis Sanford","CURTIS.SANFORD","8468166","07-08","VAN","G","L",1979-10-05,27,1998,NA,NA,16,679.1,61.2,354,63,-0.9,-2.6,-0.1,0,-3.6,-0.7,-1.3
"Curtis Sanford","CURTIS.SANFORD","8468166","08-09","VAN","G","L",1979-10-05,28,1998,NA,NA,19,972.6,109.2,476,126,4.7,1.2,-0.1,0,5.9,1.1,2
"Curtis Sanford","CURTIS.SANFORD","8468166","11-12","CBJ","G","L",1979-10-05,31,1998,NA,NA,36,1982.9,181.2,1065,214,3.9,-4.5,0.1,-0.8,-1.3,-0.2,-0.4
"Dan Cloutier","DAN.CLOUTIER","8460516","07-08","L.A","G","L",1976-04-22,31,1994,1,26,9,489.2,43.5,294,59,-6.5,-0.3,-0.1,0.6,-6.4,-1.2,-2.2
"Dan Ellis","DAN.ELLIS","8468540","07-08","NSH","G","L",1980-06-19,27,2000,2,60,44,2228.6,268.9,1156,238,11.1,9.1,0.3,-0.4,20,3.6,7
"Dan Ellis","DAN.ELLIS","8468540","08-09","NSH","G","L",1980-06-19,28,2000,2,60,35,1964.7,262.9,985,250,9.1,-5.4,-0.3,0.2,3.6,0.7,1.3
"Dan Ellis","DAN.ELLIS","8468540","09-10","NSH","G","L",1980-06-19,29,2000,2,60,31,1714.7,135.6,957,162,11.7,-4.6,-0.2,-0.2,6.7,1.2,2.3
"Dan Ellis","DAN.ELLIS","8468540","10-11","ANA/T.B","G","L",1980-06-19,30,2000,2,60,44,2408.2,229.5,1200,283,-11.8,-0.9,0.2,-0.5,-13,-2.3,-4.5
"Dan Ellis","DAN.ELLIS","8468540","11-12","ANA","G","L",1980-06-19,31,2000,2,60,10,418.7,46.1,223,72,-0.1,0.9,0,-0.2,0.7,0.1,0.2
"Dan Ellis","DAN.ELLIS","8468540","12-13","CAR","G","L",1980-06-19,32,2000,2,60,19,997.1,76.2,624,110,8.7,-2.6,0.1,-0.1,6.1,1.1,2.1
"Dan Ellis","DAN.ELLIS","8468540","13-14","DAL/FLA","G","L",1980-06-19,33,2000,2,60,20,1027.3,91.9,588,113,-8.3,0.4,0.1,-0.2,-8.1,-1.5,-2.9
"Dan Ellis","DAN.ELLIS","8468540","14-15","FLA","G","L",1980-06-19,34,2000,2,60,8,486.5,37,259,39,-1.3,0.1,0,-0.1,-1.3,-0.2,-0.5
"Dan Vladar","DAN.VLADAR","8478435","20-21","BOS","G","L",1997-08-20,23,2015,3,75,5,237.2,28.9,159,37,-1.2,-0.7,0,0.2,-1.7,-0.3,-0.6
"Dan Vladar","DAN.VLADAR","8478435","21-22","CGY","G","L",1997-08-20,24,2015,3,75,23,1027,114.7,722,118,7.3,0,0.1,-0.2,7.1,1.3,2.4
"Daniel Lacosta","DANIEL.LACOSTA","8471305","07-08","CBJ","G","L",1986-03-28,21,2004,3,93,1,13.2,0,6,0,0,0,0,0,0,0,0
"Daniel Lacosta","DANIEL.LACOSTA","8471305","08-09","CBJ","G","L",1986-03-28,22,2004,3,93,3,155.7,17.3,85,22,1.4,0.2,0,0,1.6,0.3,0.5
"Daniel Taylor","DANIEL.TAYLOR","8471433","07-08","L.A","G","L",1986-04-28,21,2004,7,221,1,20,0,11,0,0.1,0,0,0,0.1,0,0
"Daniel Taylor","DANIEL.TAYLOR","8471433","12-13","CGY","G","L",1986-04-28,26,2004,7,221,2,120,5.3,85,6,-0.5,0,0,0,-0.5,-0.1,-0.2
"Daniel Taylor","DANIEL.TAYLOR","8471433","17-18","OTT","G","L",1986-04-28,31,2004,7,221,1,58.5,6.1,45,4,0.1,0,0,0,0.1,0,0.1
"Daniil Tarasov (G)","DANIIL.TARASOV2","8480193","21-22","CBJ","G","L",1999-03-27,22,2017,3,86,4,159.4,8.6,130,7,1.8,0.1,0,0,1.9,0.3,0.6
"Dany Sabourin","DANY.SABOURIN","8467430","07-08","PIT","G","L",1980-09-02,27,1998,4,108,24,1242.2,133.6,617,167,2.4,-1.8,0,-0.3,0.2,0,0.1
"Dany Sabourin","DANY.SABOURIN","8467430","08-09","PIT","G","L",1980-09-02,28,1998,4,108,19,989.4,100,490,141,-2.9,1.2,-0.1,-0.3,-2.1,-0.4,-0.7
"Darcy Kuemper","DARCY.KUEMPER","8475311","12-13","MIN","G","L",1990-05-05,22,2009,6,161,6,288.3,19.9,158,18,1.7,0.1,0,-0.1,1.8,0.3,0.6
"Darcy Kuemper","DARCY.KUEMPER","8475311","13-14","MIN","G","L",1990-05-05,23,2009,6,161,26,1480.2,119.8,822,118,9.2,-3.6,-0.1,0,5.6,1.1,2
"Darcy Kuemper","DARCY.KUEMPER","8475311","14-15","MIN","G","L",1990-05-05,24,2009,6,161,31,1568.7,129.5,852,110,-4.4,-1.5,0.1,-0.4,-6.2,-1.2,-2.2
"Darcy Kuemper","DARCY.KUEMPER","8475311","15-16","MIN","G","L",1990-05-05,25,2009,6,161,21,1053.5,67.2,604,91,1.1,2.9,-0.1,0.2,4.1,0.8,1.5
"Darcy Kuemper","DARCY.KUEMPER","8475311","16-17","MIN","G","L",1990-05-05,26,2009,6,161,18,1053,66.8,669,95,-8,0.3,-0.3,0,-8,-1.5,-2.9
"Darcy Kuemper","DARCY.KUEMPER","8475311","17-18","ARI/L.A","G","L",1990-05-05,27,2009,6,161,29,1595.9,128.6,935,171,9.1,4.2,0.1,0,13.4,2.6,5
"Darcy Kuemper","DARCY.KUEMPER","8475311","18-19","ARI","G","L",1990-05-05,28,2009,6,161,55,3251.2,242.1,1944,273,17.8,6.9,-1.1,-0.1,23.4,4.4,8.2
"Darcy Kuemper","DARCY.KUEMPER","8475311","19-20","ARI","G","L",1990-05-05,29,2009,6,161,29,1753.4,127.4,1062,162,19.6,0.7,-0.1,-0.2,20,3.6,6.8
"Darcy Kuemper","DARCY.KUEMPER","8475311","20-21","ARI","G","L",1990-05-05,30,2009,6,161,27,1252.7,132.5,763,172,-1.3,2.4,-0.4,-0.2,0.4,0.1,0.1
"Darcy Kuemper","DARCY.KUEMPER","8475311","21-22","COL","G","L",1990-05-05,31,2009,6,161,57,2655,258.3,1846,362,25.7,5.1,0,-0.4,30.4,5.3,10.1
"David Aebischer","DAVID.AEBISCHER","8466290","07-08","ARI","G","L",1978-02-07,29,1997,6,161,1,59.9,4.2,39,1,0.1,0,0,0.2,0.2,0,0.1
"David Ayres","DAVID.AYRES","8479188","19-20","CAR","G","L",1977-08-12,42,1995,NA,NA,1,28.7,4,14,2,0.1,0,0,0,0.1,0,0
"David Leneveu","DAVID.LENEVEU","8470263","10-11","CBJ","G","L",1983-05-23,27,2002,2,46,1,20,2,12,4,0.1,0,0,0,0.1,0,0
"David Rittich","DAVID.RITTICH","8479496","16-17","CGY","G","L",1992-08-19,24,2010,NA,NA,1,20,1.4,9,4,0.1,0,0,0,0.1,0,0
"David Rittich","DAVID.RITTICH","8479496","17-18","CGY","G","L",1992-08-19,25,2010,NA,NA,21,1008.2,84.1,577,109,0.9,0.4,-0.3,0.1,1.1,0.2,0.4
"David Rittich","DAVID.RITTICH","8479496","18-19","CGY","G","L",1992-08-19,26,2010,NA,NA,45,2503.3,212.5,1408,229,16,-1.3,-0.3,0.1,14.6,2.7,5.1
"David Rittich","DAVID.RITTICH","8479496","19-20","CGY","G","L",1992-08-19,27,2010,NA,NA,48,2792,239.5,1669,298,4.3,4.5,-0.1,0.1,8.7,1.6,3
"David Rittich","DAVID.RITTICH","8479496","20-21","CGY/TOR","G","L",1992-08-19,28,2010,NA,NA,19,802.8,80,539,82,-0.3,-0.7,0,0.1,-0.9,-0.2,-0.3
"David Rittich","DAVID.RITTICH","8479496","21-22","NSH","G","L",1992-08-19,29,2010,NA,NA,17,690.4,59.8,492,86,-1.4,-0.7,-0.2,-0.1,-2.3,-0.4,-0.8
"Devan Dubnyk","DEVAN.DUBNYK","8471227","09-10","EDM","G","L",1986-05-04,23,2004,1,14,19,1075.4,105.3,663,166,-2.2,-3.8,0.1,-0.1,-6,-1.1,-2.1
"Devan Dubnyk","DEVAN.DUBNYK","8471227","10-11","EDM","G","L",1986-05-04,24,2004,1,14,35,2061.1,240.1,1159,317,12.9,5.3,0,0.3,18.5,3.3,6.3
"Devan Dubnyk","DEVAN.DUBNYK","8471227","11-12","EDM","G","L",1986-05-04,25,2004,1,14,47,2653.4,251.9,1544,276,22.5,0,0.2,-0.6,22,3.8,7.1
"Devan Dubnyk","DEVAN.DUBNYK","8471227","12-13","EDM","G","L",1986-05-04,26,2004,1,14,38,2100.9,209.9,1241,271,8.4,9.6,0.1,0.5,18.6,3.4,6.4
"Devan Dubnyk","DEVAN.DUBNYK","8471227","13-14","EDM/NSH","G","L",1986-05-04,27,2004,1,14,34,1801.6,159.8,1002,222,-10.7,2.3,-0.4,0.2,-8.6,-1.6,-3
"Devan Dubnyk","DEVAN.DUBNYK","8471227","14-15","ARI/MIN","G","L",1986-05-04,28,2004,1,14,58,3328.2,264.6,1837,362,21.6,6,0.2,0.5,28.3,5.4,10.3
"Devan Dubnyk","DEVAN.DUBNYK","8471227","15-16","MIN","G","L",1986-05-04,29,2004,1,14,67,3856.7,267,2148,341,20,-4.6,-0.4,1.1,16.1,3.1,6
"Devan Dubnyk","DEVAN.DUBNYK","8471227","16-17","MIN","G","L",1986-05-04,30,2004,1,14,65,3758,270,2125,340,4.1,3.6,-0.1,0.3,7.8,1.5,2.8
"Devan Dubnyk","DEVAN.DUBNYK","8471227","17-18","MIN","G","L",1986-05-04,31,2004,1,14,60,3450.3,275.2,2032,344,8.1,0,-0.4,0.1,7.7,1.5,2.9
"Devan Dubnyk","DEVAN.DUBNYK","8471227","18-19","MIN","G","L",1986-05-04,32,2004,1,14,67,3855.3,304.9,2139,377,0.1,6.3,0.2,0.5,7.2,1.3,2.5
"Devan Dubnyk","DEVAN.DUBNYK","8471227","19-20","MIN","G","L",1986-05-04,33,2004,1,14,30,1664.7,138.4,927,177,-13.9,-1.2,0.1,0.2,-14.8,-2.6,-5
"Devan Dubnyk","DEVAN.DUBNYK","8471227","20-21","COL/S.J","G","L",1986-05-04,34,2004,1,14,22,963,121.5,624,153,-1.1,1.7,-0.1,-0.1,0.3,0.1,0.1
"Dimitri Patzold","DIMITRI.PATZOLD","8469556","07-08","S.J","G","L",1983-02-03,24,2001,4,107,3,43.6,5.4,19,6,0.1,0,0,0.2,0.3,0,0.1
"Dominik Hasek","DOMINIK.HASEK","8447687","07-08","DET","G","L",1965-01-29,42,1983,10,199,41,2350.1,285.7,861,244,12.8,-6.5,-0.6,0.5,6.3,1.1,2.2
"Drew MacIntyre","DREW.MACINTYRE","8469569","07-08","VAN","G","L",1983-06-24,24,2001,4,121,2,61.1,4.1,24,4,0.1,0,0,0,0.1,0,0
"Drew MacIntyre","DREW.MACINTYRE","8469569","11-12","BUF","G","L",1983-06-24,28,2001,4,121,2,43.5,6,11,6,0.1,0,0,0,0.1,0,0
"Drew MacIntyre","DREW.MACINTYRE","8469569","13-14","TOR","G","L",1983-06-24,30,2001,4,121,2,94.6,8,62,8,0.5,0.1,0,0.2,0.7,0.1,0.2
"Dustin Tokarski","DUSTIN.TOKARSKI","8474682","09-10","T.B","G","L",1989-09-16,19,2008,5,122,2,44.4,2.2,21,2,0.1,0,0,0,0.1,0,0
"Dustin Tokarski","DUSTIN.TOKARSKI","8474682","11-12","T.B","G","L",1989-09-16,21,2008,5,122,5,243.6,16.8,156,17,-1.9,0,-0.2,-0.1,-2.2,-0.4,-0.7
"Dustin Tokarski","DUSTIN.TOKARSKI","8474682","13-14","MTL","G","L",1989-09-16,23,2008,5,122,3,163.1,15.3,93,25,1.9,0.3,0,0,2.2,0.4,0.8
"Dustin Tokarski","DUSTIN.TOKARSKI","8474682","14-15","MTL","G","L",1989-09-16,24,2008,5,122,17,1005,89.1,558,107,0.2,2.4,0.1,-0.2,2.4,0.5,0.9
"Dustin Tokarski","DUSTIN.TOKARSKI","8474682","15-16","MTL","G","L",1989-09-16,25,2008,5,122,6,226.2,17.6,109,23,-2.6,0,0,0.2,-2.5,-0.5,-0.9
"Dustin Tokarski","DUSTIN.TOKARSKI","8474682","16-17","ANA","G","L",1989-09-16,26,2008,5,122,1,9.8,2,3,4,0,0,0,0,0,0,0
"Dustin Tokarski","DUSTIN.TOKARSKI","8474682","20-21","BUF","G","L",1989-09-16,30,2008,5,122,13,608.8,53.7,494,87,2,1.2,0,-0.1,3.2,0.6,1.1
"Dustin Tokarski","DUSTIN.TOKARSKI","8474682","21-22","BUF","G","L",1989-09-16,31,2008,5,122,29,1416.7,123.7,983,159,-3.4,-2.4,0.1,-0.2,-5.9,-1,-2
"Dwayne Roloson","DWAYNE.ROLOSON","8460806","07-08","EDM","G","L",1969-10-12,37,1988,NA,NA,43,2340.2,274.4,1176,313,2.6,2.2,0.1,0.3,5.2,0.9,1.8
"Dwayne Roloson","DWAYNE.ROLOSON","8460806","08-09","EDM","G","L",1969-10-12,38,1988,NA,NA,63,3596.8,393.6,1974,540,22.9,8.2,-0.2,1.5,32.4,5.9,11.3
"Dwayne Roloson","DWAYNE.ROLOSON","8460806","09-10","NYI","G","L",1969-10-12,39,1988,NA,NA,50,2897.3,278.6,1688,373,10.2,-0.7,-0.5,1,10,1.8,3.5
"Dwayne Roloson","DWAYNE.ROLOSON","8460806","10-11","NYI/T.B","G","L",1969-10-12,40,1988,NA,NA,54,3198.6,303.2,1789,359,11.8,-1.4,-0.3,0.7,10.8,1.9,3.7
"Dwayne Roloson","DWAYNE.ROLOSON","8460806","11-12","T.B","G","L",1969-10-12,41,1988,NA,NA,40,2098.5,186.8,1193,295,-13,0.9,-0.2,0.3,-12,-2.1,-3.9
"Dylan Ferguson","DYLAN.FERGUSON","8480263","17-18","VGK","G","L",1998-09-20,18,2017,7,194,1,9.2,0.4,3,1,0,0,0,0.2,0.2,0,0.1
"Eddie Lack","EDDIE.LACK","8475663","13-14","VAN","G","L",1988-01-05,25,2006,NA,NA,41,2318.9,227.3,1204,238,12.7,0,0.1,0,12.8,2.4,4.5
"Eddie Lack","EDDIE.LACK","8475663","14-15","VAN","G","L",1988-01-05,26,2006,NA,NA,41,2324,207,1280,250,12.8,5.1,0,-0.5,17.3,3.3,6.3
"Eddie Lack","EDDIE.LACK","8475663","15-16","CAR","G","L",1988-01-05,27,2006,NA,NA,34,1920.1,148.6,1141,136,1.8,2.4,0.1,-0.2,4.1,0.8,1.5
"Eddie Lack","EDDIE.LACK","8475663","16-17","CAR","G","L",1988-01-05,28,2006,NA,NA,20,1089.8,74.4,642,67,4.5,-2.3,0.1,0.2,2.4,0.5,0.9
"Eddie Lack","EDDIE.LACK","8475663","17-18","CGY/N.J","G","L",1988-01-05,29,2006,NA,NA,8,343.6,28.8,183,48,-0.5,-0.3,0,0,-0.9,-0.2,-0.3
"Edward Pasquale","EDWARD.PASQUALE","8475277","18-19","T.B","G","L",1990-11-20,27,2009,4,117,3,182,12,131,10,-3.4,0.1,0,0,-3.3,-0.6,-1.2
"Elvis Merzlikins","ELVIS.MERZLIKINS","8478007","19-20","CBJ","G","L",1994-04-13,25,2014,3,76,32,1815.1,111.8,1115,114,14.1,0.9,0.1,-0.2,14.9,2.7,5.1
"Elvis Merzlikins","ELVIS.MERZLIKINS","8478007","20-21","CBJ","G","L",1994-04-13,26,2014,3,76,28,1323,96.1,955,107,5.3,1.9,0.1,-0.2,7.1,1.3,2.4
"Elvis Merzlikins","ELVIS.MERZLIKINS","8478007","21-22","CBJ","G","L",1994-04-13,27,2014,3,76,59,2788.2,256.8,2174,322,7.2,-0.5,-0.2,0.8,7.4,1.3,2.5
"Eric Comrie","ERIC.COMRIE","8477480","16-17","WPG","G","L",1995-07-06,21,2013,2,59,1,59.3,0,46,0,0.3,0,0,0,0.3,0.1,0.1
"Eric Comrie","ERIC.COMRIE","8477480","17-18","WPG","G","L",1995-07-06,22,2013,2,59,3,180.2,11.8,105,8,-4.6,0,0,0,-4.6,-0.9,-1.7
"Eric Comrie","ERIC.COMRIE","8477480","18-19","WPG","G","L",1995-07-06,23,2013,2,59,1,59.9,4,34,1,-0.3,0,0,0,-0.3,-0.1,-0.1
"Eric Comrie","ERIC.COMRIE","8477480","19-20","DET","G","L",1995-07-06,24,2013,2,59,3,126.2,12.9,74,10,-0.6,0,0,0,-0.6,-0.1,-0.2
"Eric Comrie","ERIC.COMRIE","8477480","20-21","N.J","G","L",1995-07-06,25,2013,2,59,1,47.9,5,37,11,0.5,-0.2,0,0,0.2,0,0.1
"Eric Comrie","ERIC.COMRIE","8477480","21-22","WPG","G","L",1995-07-06,26,2013,2,59,19,886.3,69.1,610,103,15.9,-1.4,0.1,-0.1,14.4,2.5,4.8
"Erik Ersberg","ERIK.ERSBERG","8473975","07-08","L.A","G","L",1982-03-08,25,2000,NA,NA,14,799,78.5,510,105,11.1,-0.5,0.1,0,10.6,1.9,3.7
"Erik Ersberg","ERIK.ERSBERG","8473975","08-09","L.A","G","L",1982-03-08,26,2000,NA,NA,28,1477,168.1,704,167,-1.7,-0.6,0,-0.2,-2.5,-0.5,-0.9
"Erik Ersberg","ERIK.ERSBERG","8473975","09-10","L.A","G","L",1982-03-08,27,2000,NA,NA,11,551,56.5,243,72,1.5,0.7,0,0,2.4,0.4,0.8
"Erik Kallgren","ERIK.KALLGREN","8478902","21-22","TOR","G","L",1996-10-14,24,2015,7,183,14,642.8,59.8,430,71,-2.2,-3.1,-0.1,0.1,-5.4,-0.9,-1.8
"Evgeni Nabokov","EVGENI.NABOKOV","8460705","07-08","S.J","G","L",1975-07-25,32,1994,9,219,77,4554.3,447.1,1885,462,12.6,9.4,-0.1,-1,20.9,3.8,7.3
"Evgeni Nabokov","EVGENI.NABOKOV","8460705","08-09","S.J","G","L",1975-07-25,33,1994,9,219,62,3686.4,351.9,1723,396,13.7,6.1,-0.8,-0.7,18.3,3.3,6.4
"Evgeni Nabokov","EVGENI.NABOKOV","8460705","09-10","S.J","G","L",1975-07-25,34,1994,9,219,71,4194.1,442,2306,563,27.1,12.6,-0.2,0.2,39.8,7.2,13.9
"Evgeni Nabokov","EVGENI.NABOKOV","8460705","11-12","NYI","G","L",1975-07-25,36,1994,9,219,42,2377.8,177.7,1402,244,16.4,2.7,-0.2,-0.6,18.3,3.2,5.9
"Evgeni Nabokov","EVGENI.NABOKOV","8460705","12-13","NYI","G","L",1975-07-25,37,1994,9,219,41,2475.4,188.4,1360,208,10.2,-0.1,-0.4,-0.2,9.4,1.8,3.2
"Evgeni Nabokov","EVGENI.NABOKOV","8460705","13-14","NYI","G","L",1975-07-25,38,1994,9,219,40,2254.2,187.7,1249,205,11.5,-3.8,-0.2,-0.3,7.2,1.4,2.6
"Evgeni Nabokov","EVGENI.NABOKOV","8460705","14-15","T.B","G","L",1975-07-25,39,1994,9,219,11,553.4,48.9,263,67,-2.5,-1.4,-0.1,0.1,-4,-0.8,-1.5
"Felix Sandstrom","FELIX.SANDSTROM","8478433","21-22","PHI","G","L",1997-01-12,24,2015,3,70,5,240.4,31.2,183,55,2,1.8,0,0,3.8,0.7,1.3
"Filip Gustavsson","FILIP.GUSTAVSSON","8479406","20-21","OTT","G","L",1998-06-07,22,2016,2,55,9,387.5,43.6,295,46,5.5,0.9,0,-0.1,6.4,1.1,2.1
"Filip Gustavsson","FILIP.GUSTAVSSON","8479406","21-22","OTT","G","L",1998-06-07,23,2016,2,55,18,881,79.8,642,110,-3.3,-1.5,0.1,-0.1,-4.9,-0.9,-1.6
"Frederik Andersen","FREDERIK.ANDERSEN","8475883","13-14","ANA","G","L",1989-10-02,23,2012,3,87,28,1569.4,139.8,894,161,8.1,3.5,0.1,-0.1,11.5,2.2,4.1
"Frederik Andersen","FREDERIK.ANDERSEN","8475883","14-15","ANA","G","L",1989-10-02,24,2012,3,87,54,3105.7,275.7,1674,311,11.2,4.8,-0.2,-0.2,15.6,3,5.7
"Frederik Andersen","FREDERIK.ANDERSEN","8475883","15-16","ANA","G","L",1989-10-02,25,2012,3,87,43,2297.9,233.1,1202,272,10.8,4.1,0.1,0.3,15.4,3,5.7
"Frederik Andersen","FREDERIK.ANDERSEN","8475883","16-17","TOR","G","L",1989-10-02,26,2012,3,87,66,3799.3,327.5,2370,431,25.5,12.3,-0.2,1.5,39.1,7.4,14.3
"Frederik Andersen","FREDERIK.ANDERSEN","8475883","17-18","TOR","G","L",1989-10-02,27,2012,3,87,66,3888.5,304.1,2540,385,20.4,7,0.1,0.5,27.9,5.4,10.4
